CoralNet Label;MERMAID attribute;MERMAID Growth Form
aca;Acanthastrea;
acr;Acropora;
aga;Agaricia;
alv;Alveopora;
Anem;Anemone;
ano;Anomastraea;
Ascd;Ascidian;
ast;Astreopora;
BS;Bare substrate;
bla;Blastomussa;
cau;Caulastraea;
cla;Cladiella;
coe;Coeloseris;
Cmorph;Corallimorpharia;
cos;Coscinaraea;
ACOR;Crustose coralline algae;
cte;Ctenactis;
cyn;Cynarina;
cyp;Cyphastrea;
DC;Dead coral;
RDC;Dead coral;
den;Dendronepthea;
dia;Diaseris;
dip;Diploastrea;
dps;Dipsastrea;
eph;Echinophyllia;
epo;Echinopora;
eup;Euphyllia;
fav;Favia;
fts;Favites;
fun;Fungia;
gal;Galaxea;
gar;Gardineroseris;
gon;Goniastrea;
gop;Goniopora;
Gorg;Gorgonian;
gyr;Gyrosmilia;
AHAL;Halimeda;
hal;Halomitra;
HC;Hard coral;
hel;Heliopora;
her;Herpolitha;
hor;Horastrea;
hyd;Hydnophora;
Hydr;Hydroid;
iso;Isopora;
lep;Leptastrea;
leo;Leptoria;
les;Leptoseris;
loc;Lobactis;
lob;Lobophyllia;
Lbp;Lobophytum;
AMAC;Macroalgae;
mad;Madracis;
mer;Merulina;
mic;Micromussa;
mil;Millepora;
Moll;Molluscs;
mon;Montastrea;
mtp;Montipora;
myc;Mycedium;
nep;Nephthya;
OBS;Obscured;
OT;Other;
INV;Other invertebrates;
ous;Oulastrea;
oul;Oulophyllia;
oxy;Oxypora;
pac;Pachyseris;
paa;Paragoniastrea;
par;Paramontastraea;
pav;Pavona;
pec;Pectinia;
phy;Physogyra;
pla;Platygyra;
plg;Plerogyra;
pls;Plesiastrea;
poc;Pocillopora;
pod;Podabacia;
pol;Polyphyllia;
por;Porites;
porB;Porites;Branching
porM;Porites;Massive
psa;Psammocora;
pse;Pseudosiderastrea;
RCK;Rock;
RUB;Rubble;
SND;Sand;
san;Sandalolitha;
Sar;Sarcophyton;
sco;Scolymia;
SGR;Seagrass;
ser;Seriatopora;
sid;Siderastrea;
SIL;Silt;
Sin;Sinularia;
SC;Soft coral;
Spog;Sponge;
ste;Stereonephthya;
stc;Stylocoeniella;
sty;Stylophora;
sym;Symphyllia;
TWS;Tape;
tra;Trachyphyllia;
tub;Tubastrea;
tup;Tubipora;
tur;Turbinaria-coral;
ATRF;Turf algae;
UNID;Unknown;
UNK;Unknown;
xen;Xenia;
Zooa;Zoanthid;
